"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
8,PA20,,Available,,,,,,NORMAL
9,PA21,,Available,,,,,,NORMAL
10,PA22,,Available,,,,,,NORMAL
11,PA23,,Available,,,,,,NORMAL
12,PA13,,Available,,,,,,NORMAL
13,PA14,,Available,,,,,,NORMAL
14,PA15,,Available,,,,,,NORMAL
15,PA16,,Available,,,,,,NORMAL
16,PA17,,Available,,,,,,NORMAL
17,PA24,,Available,,,,,,NORMAL
20,PA25,,Available,,,,,,NORMAL
21,PA26,,Available,,,,,,NORMAL
22,PA27,,Available,,,,,,NORMAL
23,PA04,,Available,,,,,,NORMAL
24,PA05,,Available,,,,,,NORMAL
25,PA06,,Available,,,,,,NORMAL
26,PA07,,Available,,,,,,NORMAL
27,PA08,,Available,,,,,,NORMAL
28,PA18,,Available,,,,,,NORMAL
29,PA28,,Available,,,,,,NORMAL
33,PA09,,Available,,,,,,NORMAL
35,PA11,,Available,,,,,,NORMAL
36,PA12,,Available,,,,,,NORMAL
37,PB00,,Available,,,,,,NORMAL
39,PB11,,Available,,,,,,NORMAL
40,PB12,,Available,,,,,,NORMAL
41,PB18,,Available,,,,,,NORMAL
42,PB19,,Available,,,,,,NORMAL
43,PB20,,Available,,,,,,NORMAL
45,PB02,,Available,,,,,,NORMAL
46,PB03,,Available,,,,,,NORMAL
50,PB04,,Available,,,,,,NORMAL
51,PB05,,Available,,,,,,NORMAL
52,PB13,,Available,,,,,,NORMAL
53,PB06,,Available,,,,,,NORMAL
54,PB14,,Available,,,,,,NORMAL
55,PB15,,Available,,,,,,NORMAL
59,PB21,,Available,,,,,,NORMAL
60,PB22,,Available,,,,,,NORMAL
61,PB23,,Available,,,,,,NORMAL
62,PB24,,Available,,,,,,NORMAL
63,PB25,LED1,LED_AL,Digital,Out,High,,,NORMAL
64,PB26,SWITCH,SWITCH_AL,Digital,In,n/a,Yes,No,NORMAL
65,PB16,,Available,,,,,,NORMAL
68,PB17,,Available,,,,,,NORMAL
69,PB07,,Available,,,,,,NORMAL
70,PB08,,Available,,,,,,NORMAL
71,PB09,,Available,,,,,,NORMAL
72,PB10,,Available,,,,,,NORMAL
73,PC00,,Available,,,,,,NORMAL
74,PC01,,Available,,,,,,NORMAL
75,PC02,,Available,,,,,,NORMAL
76,PC03,,Available,,,,,,NORMAL
77,PC04,,Available,,,,,,NORMAL
80,PC21,,Available,,,,,,NORMAL
81,PC22,,Available,,,,,,NORMAL
82,PC14,,Available,,,,,,NORMAL
83,PC23,,Available,,,,,,NORMAL
84,PC05,,Available,,,,,,NORMAL
85,PC06,,Available,,,,,,NORMAL
86,PC07,,Available,,,,,,NORMAL
87,PC24,,Available,,,,,,NORMAL
88,PC25,,Available,,,,,,NORMAL
92,PC26,,Available,,,,,,NORMAL
93,PC27,,Available,,,,,,NORMAL
94,PC09,,Available,,,,,,NORMAL
95,PC15,,Available,,,,,,NORMAL
96,PC28,,Available,,,,,,NORMAL
97,PC29,,Available,,,,,,NORMAL
98,PC16,,Available,,,,,,NORMAL
99,PC17,,Available,,,,,,NORMAL
100,PC18,,Available,,,,,,NORMAL
101,PC10,,Available,,,,,,NORMAL
104,PC11,,Available,,,,,,NORMAL
105,PC12,,Available,,,,,,NORMAL
106,PC13,,Available,,,,,,NORMAL
107,PC19,,Available,,,,,,NORMAL
108,PC20,,Available,,,,,,NORMAL
119,PD00,,Available,,,,,,NORMAL
120,PD01,,Available,,,,,,NORMAL
121,PD02,SW1,SWITCH_AL,Digital,In,n/a,Yes,No,NORMAL
122,PD03,,Available,,,,,,NORMAL
123,PD04,,Available,,,,,,NORMAL
124,PD13,,Available,,,,,,NORMAL
125,PD14,,Available,,,,,,NORMAL
126,PD15,,Available,,,,,,NORMAL
127,PD16,,Available,,,,,,NORMAL
130,PD17,,Available,,,,,,NORMAL
131,PD18,,Available,,,,,,NORMAL
132,PD19,,Available,,,,,,NORMAL
133,PD20,LED,LED_AL,Digital,Out,High,,,NORMAL
134,PD21,,Available,,,,,,NORMAL
135,PD12,,Available,,,,,,NORMAL
136,PD05,,Available,,,,,,NORMAL
137,PD06,,Available,,,,,,NORMAL
138,PD07,,Available,,,,,,NORMAL
141,PD08,,Available,,,,,,NORMAL
142,PD09,,Available,,,,,,NORMAL
143,PD10,,Available,,,,,,NORMAL
144,PD11,,Available,,,,,,NORMAL
